_id,timestamp,sensor_id,count,temperature,humidity
66f6d3cd7317f0a50e941849,2024-09-27 18:48:29,87f1,366,30.23,52.68
66f6d3e17317f0a50e94184b,2024-09-27 18:48:49,87f1,367,30.22,52.68
66f6d571c68684eaa6c440c2,2024-09-27 18:55:29,87f1,387,30.29,52.23
66f6d585c68684eaa6c440c4,2024-09-27 18:55:49,87f1,388,30.26,52.3
66f6d599c68684eaa6c440c6,2024-09-27 18:56:09,87f1,389,30.23,52.61
66f6d5adc68684eaa6c440c8,2024-09-27 18:56:29,87f1,390,30.19,52.68
66f6d5c1c68684eaa6c440ca,2024-09-27 18:56:49,87f1,391,30.22,52.74
66f6d5d5c68684eaa6c440cc,2024-09-27 18:57:09,87f1,392,30.15,52.58
66f6d5e9c68684eaa6c440ce,2024-09-27 18:57:29,87f1,393,30.12,52.71
66f6d5fdc68684eaa6c440d0,2024-09-27 18:57:49,87f1,394,30.08,52.87
66f6d611c68684eaa6c440d2,2024-09-27 18:58:09,87f1,395,30.08,52.93
66f6d625c68684eaa6c440d4,2024-09-27 18:58:29,87f1,396,29.98,53.12
66f6d639c68684eaa6c440d6,2024-09-27 18:58:49,87f1,397,29.91,53.56
66f6d64dc68684eaa6c440d8,2024-09-27 18:59:09,87f1,398,29.83,53.88
66f6e7a9d7325a5862d9ecf9,2024-09-27 20:13:13,87f1,25,28.7,58.97
66f6e7bdd7325a5862d9ecfb,2024-09-27 20:13:33,87f1,26,28.79,60.79
66f6e7d1d7325a5862d9ecfd,2024-09-27 20:13:53,87f1,27,28.77,59.67
66f6e7e5d7325a5862d9ecff,2024-09-27 20:14:13,87f1,28,28.76,59.24
66f6e7f9d7325a5862d9ed01,2024-09-27 20:14:33,87f1,29,28.73,60.43
66f6e80dd7325a5862d9ed03,2024-09-27 20:14:53,87f1,30,28.76,61.79
66f6e821d7325a5862d9ed05,2024-09-27 20:15:13,87f1,31,28.72,59.94
66f6e835d7325a5862d9ed07,2024-09-27 20:15:33,87f1,32,28.73,59.82
66f6e849d7325a5862d9ed09,2024-09-27 20:15:53,87f1,33,28.8,59.46
66f6e85dd7325a5862d9ed0b,2024-09-27 20:16:13,87f1,34,28.79,59.24
66f6e871d7325a5862d9ed0d,2024-09-27 20:16:33,87f1,35,28.69,59.46
66f6e885d7325a5862d9ed0f,2024-09-27 20:16:53,87f1,36,28.72,59.27
66f6e899d7325a5862d9ed11,2024-09-27 20:17:13,87f1,37,28.72,59.21
66f6e8add7325a5862d9ed13,2024-09-27 20:17:33,87f1,38,28.72,59.34
66f6e8c1d7325a5862d9ed15,2024-09-27 20:17:53,87f1,39,28.73,59.4
66f6e8d5d7325a5862d9ed17,2024-09-27 20:18:13,87f1,40,28.73,59.18
66f6e8e9d7325a5862d9ed19,2024-09-27 20:18:33,87f1,41,28.69,59.27
66f6e8fdd7325a5862d9ed1b,2024-09-27 20:18:53,87f1,42,28.69,59.61
66f6e911d7325a5862d9ed1d,2024-09-27 20:19:13,87f1,43,28.69,59.85
66f6e925d7325a5862d9ed1f,2024-09-27 20:19:33,87f1,44,28.72,59.52
66f6e939d7325a5862d9ed21,2024-09-27 20:19:53,87f1,45,28.72,59.61
66f6e94dd7325a5862d9ed23,2024-09-27 20:20:13,87f1,46,28.73,59.4
66f6e961d7325a5862d9ed25,2024-09-27 20:20:33,87f1,47,28.76,59.34
66f6e975d7325a5862d9ed27,2024-09-27 20:20:53,87f1,48,28.73,58.97
66f6e989d7325a5862d9ed29,2024-09-27 20:21:13,87f1,49,28.73,58.94
66f6e99dd7325a5862d9ed2b,2024-09-27 20:21:33,87f1,50,28.76,59.06
66f6e9b1d7325a5862d9ed2d,2024-09-27 20:21:53,87f1,51,28.75,59.03
66f6e9c5d7325a5862d9ed2f,2024-09-27 20:22:13,87f1,52,28.72,59.58
66f6e9d9d7325a5862d9ed31,2024-09-27 20:22:33,87f1,53,28.75,59.64
66f6e9edd7325a5862d9ed33,2024-09-27 20:22:53,87f1,54,28.79,59.27
66f6ea01d7325a5862d9ed35,2024-09-27 20:23:13,87f1,55,28.79,59.43
66f6ea15d7325a5862d9ed37,2024-09-27 20:23:33,87f1,56,28.83,59.03
66f6ea29d7325a5862d9ed39,2024-09-27 20:23:53,87f1,57,28.76,59.34
66f6ea3dd7325a5862d9ed3b,2024-09-27 20:24:13,87f1,58,28.73,59.27
66f6ea51d7325a5862d9ed3d,2024-09-27 20:24:33,87f1,59,28.73,59.34
66f6ea65d7325a5862d9ed3f,2024-09-27 20:24:53,87f1,60,28.73,59.18
66f6ea79d7325a5862d9ed41,2024-09-27 20:25:13,87f1,61,28.73,59.03
66f6ea8dd7325a5862d9ed43,2024-09-27 20:25:33,87f1,62,28.73,59.06
66f6eaa1d7325a5862d9ed45,2024-09-27 20:25:53,87f1,63,28.72,59.12
66f6eab5d7325a5862d9ed47,2024-09-27 20:26:13,87f1,64,28.69,58.79
66f6eac9d7325a5862d9ed49,2024-09-27 20:26:33,87f1,65,28.69,58.85
66f6eaddd7325a5862d9ed4b,2024-09-27 20:26:53,87f1,66,28.68,59.03
66f6eaf1d7325a5862d9ed4d,2024-09-27 20:27:13,87f1,67,28.66,58.91
66f6eb05d7325a5862d9ed4f,2024-09-27 20:27:33,87f1,68,28.65,59.06
66f6eb19d7325a5862d9ed51,2024-09-27 20:27:53,87f1,69,28.63,58.97
66f6eb2dd7325a5862d9ed53,2024-09-27 20:28:13,87f1,70,28.65,58.91
66f6eb41d7325a5862d9ed55,2024-09-27 20:28:33,87f1,71,28.62,58.91
66f6eb55d7325a5862d9ed57,2024-09-27 20:28:53,87f1,72,28.62,58.94
66f6eb69d7325a5862d9ed59,2024-09-27 20:29:13,87f1,73,28.61,58.97
66f6eb7dd7325a5862d9ed5b,2024-09-27 20:29:33,87f1,74,28.61,59.09
66f6eb91d7325a5862d9ed5d,2024-09-27 20:29:53,87f1,75,28.59,59.0
66f6eba5d7325a5862d9ed5f,2024-09-27 20:30:13,87f1,76,28.59,59.15
66f6ebb9d7325a5862d9ed61,2024-09-27 20:30:33,87f1,77,28.58,59.03
66f6ebcdd7325a5862d9ed63,2024-09-27 20:30:53,87f1,78,28.59,59.15
66f6ebe1d7325a5862d9ed65,2024-09-27 20:31:13,87f1,79,28.58,59.09
66f6ebf5d7325a5862d9ed67,2024-09-27 20:31:33,87f1,80,28.62,59.03
66f6ec09d7325a5862d9ed69,2024-09-27 20:31:53,87f1,81,28.59,59.12
66f6ec1dd7325a5862d9ed6b,2024-09-27 20:32:13,87f1,82,28.58,59.12
66f6ec31d7325a5862d9ed6d,2024-09-27 20:32:33,87f1,83,28.56,59.21
66f6ec45d7325a5862d9ed6f,2024-09-27 20:32:53,87f1,84,28.55,59.24
66f6ec59d7325a5862d9ed71,2024-09-27 20:33:13,87f1,85,28.58,59.15
66f6ec6dd7325a5862d9ed73,2024-09-27 20:33:33,87f1,86,28.56,58.97
66f6ec81d7325a5862d9ed75,2024-09-27 20:33:53,87f1,87,28.55,59.03
66f6ec95d7325a5862d9ed77,2024-09-27 20:34:13,87f1,88,28.58,59.09
66f6eca9d7325a5862d9ed79,2024-09-27 20:34:33,87f1,89,28.54,59.12
66f6ecbdd7325a5862d9ed7b,2024-09-27 20:34:53,87f1,90,28.55,59.12
